municipio,homicidio,furtos_veiculo,furtos,roubos,latrocionio,roubo_veiculo,extorsao,extorsao_sequesto,estelionato,delitos_corrupcao,posse_entorpecente,delitos_municoes,trafico_entorpecente,ano
TRAVESSEIRO,0,3,10,2,0,0,0,0,2,0,0,0,0,2008
"TRES ARROIOS",0,1,25,0,0,1,0,0,1,0,0,0,1,2008
"TRES CACHOEIRAS",1,5,102,14,0,0,1,0,5,0,2,4,0,2008
"TRES COROAS",0,10,383,32,0,4,0,0,19,1,10,9,6,2008
"TRES DE MAIO",2,16,546,24,0,2,0,0,52,1,1,8,3,2008
"TRES FORQUILHAS",0,0,8,1,0,1,0,0,0,0,0,0,0,2008
"TRES PALMEIRAS",1,1,36,1,0,0,0,0,12,0,0,1,0,2008
"TRES PASSOS",4,31,358,25,0,0,1,0,29,2,6,21,13,2008
"TRINDADE DO SUL",1,1,75,1,0,1,0,0,10,0,1,4,0,2008
TRIUNFO,3,10,472,53,1,15,0,0,13,2,7,15,28,2008
TUCUNDUVA,1,1,35,1,0,0,0,0,3,0,0,5,1,2008
TUNAS,1,0,25,3,0,0,0,0,0,0,0,10,0,2008
"TUPANCI DO SUL",0,1,17,0,0,0,0,0,2,1,0,8,0,2008
TUPANCIRETA,3,15,290,19,0,1,1,0,24,0,10,15,4,2008
TUPANDI,0,2,15,1,0,1,0,0,4,0,0,1,0,2008
TUPARENDI,0,0,45,4,0,0,1,0,2,0,0,2,0,2008
TURUCU,0,1,49,1,0,0,0,0,0,0,0,2,0,2008
UBIRETAMA,0,1,19,1,0,0,0,0,2,0,0,1,0,2008
"UNIAO DA SERRA",0,0,11,0,0,0,0,0,1,0,0,7,0,2008
UNISTALDA,0,0,21,0,0,0,0,0,0,0,0,0,0,2008
URUGUAIANA,18,188,2364,737,2,78,5,0,122,3,78,93,40,2008
VACARIA,10,37,1291,200,1,3,1,0,73,3,67,64,35,2008
"VALE DO SOL",1,1,99,11,0,1,0,0,0,0,0,14,0,2008
"VALE REAL",0,1,41,8,0,0,0,0,3,0,1,2,0,2008
"VALE VERDE",0,0,38,5,0,0,0,0,2,0,0,1,0,2008
VANINI,0,3,9,3,0,0,0,0,6,0,0,0,0,2008
"VENANCIO AIRES",7,38,1124,125,0,15,2,0,44,1,17,24,9,2008
"VERA CRUZ",0,25,327,35,0,1,0,0,17,0,7,13,2,2008
VERANOPOLIS,2,7,406,21,0,5,3,0,33,0,11,9,15,2008
"VESPASIANO CORREA",0,0,16,0,0,0,1,0,1,0,0,1,0,2008
VIADUTOS,1,1,22,2,0,0,0,0,1,0,0,5,0,2008
VIAMAO,85,232,3599,2191,5,350,10,0,240,0,75,140,99,2008
"VICENTE DUTRA",5,3,58,4,0,0,0,0,1,0,2,6,0,2008
"VICTOR GRAEFF",0,5,29,1,0,1,0,0,2,0,0,1,0,2008
"VILA FLORES",0,2,26,2,0,0,0,0,1,0,1,1,2,2008
"VILA LANGARO",0,0,12,0,0,0,0,0,0,0,0,0,0,2008
"VILA MARIA",0,4,54,1,0,1,0,0,1,0,0,1,0,2008
"VILA NOVA DO SUL",1,0,80,5,0,0,1,0,2,0,0,1,0,2008
"VISTA ALEGRE",1,0,14,2,0,0,0,0,1,0,0,1,0,2008
"VISTA ALEGRE DO PRATA",0,0,6,0,0,0,0,0,2,0,0,0,0,2008
"VISTA GAUCHA",1,0,25,0,0,0,0,0,0,0,0,11,0,2008
"VITORIA DAS MISSOES",0,0,31,3,0,0,0,0,2,0,0,1,0,2008
WESTFALIA,0,0,22,0,0,0,0,0,3,0,0,0,0,2008
XANGRI-LA,1,13,904,48,0,0,2,0,22,0,48,5,8,2008
