municipio,homicidio,furtos_veiculo,furtos,roubos,latrocionio,roubo_veiculo,extorsao,extorsao_sequesto,estelionato,delitos_corrupcao,posse_entorpecente,delitos_municoes,trafico_entorpecente
TUNAS,0,1,29,1,0,0,0,0,0,0,0,4,0
"TUPANCI DO SUL",0,0,22,1,0,0,0,0,1,0,0,1,0
TUPANCIRETA,7,2,292,16,0,0,0,0,21,1,4,18,5
TUPANDI,0,0,12,1,0,0,0,0,0,0,0,1,0
TUPARENDI,0,2,79,3,0,0,0,0,1,0,0,1,1
TURUCU,0,2,22,1,0,0,0,0,0,0,0,0,0
UBIRETAMA,0,0,5,0,0,0,0,0,1,1,0,2,0
"UNIAO DA SERRA",0,0,12,0,0,0,0,0,1,1,0,2,0
UNISTALDA,1,0,25,0,0,0,0,0,0,0,0,4,0
URUGUAIANA,10,64,1916,593,0,38,7,0,127,1,53,88,83
VACARIA,10,46,1261,182,0,18,1,0,70,1,44,61,46
"VALE DO SOL",0,3,104,10,0,0,0,0,2,0,0,7,0
"VALE REAL",1,0,49,7,0,0,0,0,7,0,1,1,1
"VALE VERDE",0,1,38,2,0,0,0,0,0,0,1,2,0
VANINI,0,1,9,0,0,0,0,0,1,0,0,2,0
"VENANCIO AIRES",9,35,1081,100,0,16,0,0,49,1,33,12,17
"VERA CRUZ",0,30,312,33,0,4,1,0,16,0,3,12,3
VERANOPOLIS,0,24,462,30,0,3,0,0,45,0,10,8,13
"VESPASIANO CORREA",0,1,14,2,0,0,0,0,0,0,0,0,0
VIADUTOS,0,0,33,0,0,0,0,0,4,0,0,3,1
VIAMAO,84,212,2968,2187,2,363,9,0,219,0,62,148,121
"VICENTE DUTRA",0,3,81,5,0,0,2,0,5,0,2,5,0
"VICTOR GRAEFF",0,0,17,3,0,0,0,0,5,0,1,1,0
"VILA FLORES",1,0,30,1,0,0,0,0,4,0,0,0,1
"VILA LANGARO",0,0,16,0,0,0,0,0,1,0,0,0,0
"VILA MARIA",1,4,23,2,0,2,0,0,2,0,0,4,0
"VILA NOVA DO SUL",0,0,94,3,0,0,0,0,0,0,0,1,0
"VISTA ALEGRE",0,3,26,0,0,0,0,0,1,0,0,1,0
"VISTA ALEGRE DO PRATA",0,0,9,0,0,0,0,0,0,0,0,1,0
"VISTA GAUCHA",0,1,27,1,0,0,0,0,0,0,0,1,0
"VITORIA DAS MISSOES",0,2,20,1,0,0,0,0,0,0,0,5,0
WESTFALIA,0,0,23,1,0,0,0,0,0,0,0,0,0
XANGRI-LA,0,19,1009,50,0,4,1,0,28,0,70,7,12
