municipio,homicidio,furtos_veiculo,furtos,roubos,latrocionio,roubo_veiculo,extorsao,extorsao_sequesto,estelionato,delitos_corrupcao,posse_entorpecente,delitos_municoes,trafico_entorpecente
"POCO DAS ANTAS",1,0,5,1,0,0,0,0,0,0,0,0,0
PONTAO,0,3,48,3,0,0,0,0,0,0,0,0,0
"PONTE PRETA",0,0,3,0,0,0,0,0,2,0,0,0,0
PORTAO,6,18,577,123,1,23,0,0,13,0,9,0,2
"PORTO ALEGRE",311,7928,61239,22922,21,3860,95,7,4449,38,2288,5,551
"PORTO LUCENA",1,3,75,0,0,0,0,0,11,0,2,0,0
"PORTO MAUA",0,0,13,3,0,1,0,0,0,0,0,0,0
"PORTO VERA CRUZ",0,2,24,1,0,0,0,0,1,0,0,0,0
"PORTO XAVIER",3,3,213,7,0,0,0,0,10,0,2,0,3
"POUSO NOVO",0,0,38,2,0,1,0,0,3,0,0,0,0
"PRESIDENTE LUCENA",0,0,15,5,0,0,0,0,1,0,0,0,0
PROGRESSO,2,0,78,1,1,0,0,0,1,0,0,0,0
"PROTASIO ALVES",0,1,18,0,0,0,0,0,1,0,0,0,0
PUTINGA,2,1,60,0,0,0,0,0,0,0,0,0,0
QUARAI,3,28,851,36,0,1,1,0,56,0,11,0,8
"QUATRO IRMAOS",0,0,11,1,0,0,0,0,0,0,0,0,0
QUEVEDOS,0,1,21,0,0,0,0,0,0,0,0,0,0
"QUINZE DE NOVEMBRO",0,0,37,1,0,0,0,0,12,0,0,0,0
REDENTORA,1,1,78,4,0,0,0,0,2,0,1,0,1
RELVADO,0,0,5,0,0,0,0,0,1,0,0,0,0
"RESTINGA SECA",2,4,292,10,0,0,1,0,26,0,3,0,1
"RIO DOS INDIOS",2,0,22,1,0,0,0,0,0,0,0,0,0
"RIO GRANDE",12,322,5156,1236,1,40,4,1,179,2,100,0,61
"RIO PARDO",0,20,658,60,0,2,0,0,25,0,7,0,4
RIOZINHO,0,2,59,6,0,0,0,0,1,0,0,0,0
"ROCA SALES",0,3,145,3,0,1,0,0,6,0,2,0,0
"RODEIO BONITO",1,0,66,2,0,0,0,0,5,0,0,0,0
ROLADOR,0,0,6,0,0,0,0,0,2,0,0,0,0
ROLANTE,2,16,199,29,0,2,0,0,4,0,2,0,0
"RONDA ALTA",0,3,115,13,0,3,0,0,7,0,3,0,1
RONDINHA,0,5,49,2,0,0,0,0,5,2,0,0,0
"ROQUE GONZALES",2,2,68,3,0,0,0,0,4,0,3,0,0
"ROSARIO DO SUL",8,20,1249,76,0,2,1,0,41,0,17,0,2
"SAGRADA FAMILIA",0,0,16,2,0,0,0,0,0,0,0,0,0
"SALDANHA MARINHO",0,0,49,2,0,1,0,0,1,0,0,0,1
"SALTO DO JACUI",3,1,182,6,0,0,0,0,10,0,2,0,5
"SALVADOR DAS MISSOES",0,3,14,0,0,0,1,0,0,0,0,0,0
"SALVADOR DO SUL",0,0,47,6,0,0,0,0,9,0,1,0,0
SANANDUVA,1,5,127,3,0,0,0,0,19,0,1,0,2
"SANTA BARBARA DO SUL",1,2,142,7,0,0,0,0,9,1,3,0,0
"SANTA CECILIA DO SUL",0,1,18,0,0,0,0,0,0,0,0,0,0
"SANTA CLARA DO SUL",0,4,26,3,0,0,0,0,0,0,0,0,0
"SANTA CRUZ DO SUL",16,303,2554,487,1,16,6,0,150,3,98,0,12
"SANTA MARGARIDA DO SUL",0,0,8,0,0,0,0,0,2,0,0,0,0
"SANTA MARIA",18,228,6568,1131,1,20,5,0,453,3,277,2,51
"SANTA MARIA DO HERVAL",0,2,29,2,0,0,0,0,0,0,1,0,0
